Navn;Stasjon;Tid(norsk normaltid);Nedbør (10 min);Lufttemperatur
Trondheim - Granåsen;SN68090;05.03.2025 16:00;0,2;2
Trondheim - Granåsen;SN68090;05.03.2025 16:10;0,1;2,2
Trondheim - Granåsen;SN68090;05.03.2025 16:20;0,1;2,1
Trondheim - Granåsen;SN68090;05.03.2025 16:30;0,2;2,2
Trondheim - Granåsen;SN68090;05.03.2025 16:40;0,2;2,2
Trondheim - Granåsen;SN68090;05.03.2025 16:50;0,2;2,2
Trondheim - Granåsen;SN68090;05.03.2025 17:00;0,2;2,2
Trondheim - Granåsen;SN68090;05.03.2025 17:10;0,2;2,2
Trondheim - Granåsen;SN68090;05.03.2025 17:20;0,2;2,3
Trondheim - Granåsen;SN68090;05.03.2025 17:30;0,2;2,3
Trondheim - Granåsen;SN68090;05.03.2025 17:40;0,3;2,2
Trondheim - Granåsen;SN68090;05.03.2025 17:50;0,4;2,2
Trondheim - Granåsen;SN68090;05.03.2025 18:00;0,3;2,2
Trondheim - Granåsen;SN68090;05.03.2025 18:10;0,3;2,2
Trondheim - Granåsen;SN68090;05.03.2025 18:20;0,3;2,2
Trondheim - Granåsen;SN68090;05.03.2025 18:30;0,4;2,1
Trondheim - Granåsen;SN68090;05.03.2025 18:40;0,4;2
Trondheim - Granåsen;SN68090;05.03.2025 18:50;0,2;2,1
Trondheim - Granåsen;SN68090;05.03.2025 19:00;0,4;2,1
Trondheim - Granåsen;SN68090;05.03.2025 19:10;0,3;2,1
Trondheim - Granåsen;SN68090;05.03.2025 19:20;0,5;2
Trondheim - Granåsen;SN68090;05.03.2025 19:30;0,5;1,9
Trondheim - Granåsen;SN68090;05.03.2025 19:40;0,4;1,9
Trondheim - Granåsen;SN68090;05.03.2025 19:50;0,7;1,7
Trondheim - Granåsen;SN68090;05.03.2025 20:00;0,7;1,8
Trondheim - Granåsen;SN68090;05.03.2025 20:10;0,7;2,2
Trondheim - Granåsen;SN68090;05.03.2025 20:20;1;2,1
Trondheim - Granåsen;SN68090;05.03.2025 20:30;1,1;2
Trondheim - Granåsen;SN68090;05.03.2025 20:40;1,1;2,2
Trondheim - Granåsen;SN68090;05.03.2025 20:50;0,5;2,5
Trondheim - Granåsen;SN68090;05.03.2025 21:00;0,4;2,6
Trondheim - Granåsen;SN68090;05.03.2025 21:10;0,3;2,8
Trondheim - Granåsen;SN68090;05.03.2025 21:20;0,2;3
Trondheim - Granåsen;SN68090;05.03.2025 21:30;0,2;3,4
Trondheim - Granåsen;SN68090;05.03.2025 21:40;0,2;3,6
Trondheim - Granåsen;SN68090;05.03.2025 21:50;0,1;3,9
Trondheim - Granåsen;SN68090;05.03.2025 22:00;0,2;4
Trondheim - Granåsen;SN68090;05.03.2025 22:10;0,2;4,2
Trondheim - Granåsen;SN68090;05.03.2025 22:20;0,2;4,3
Trondheim - Granåsen;SN68090;05.03.2025 22:30;0,3;4,4
Trondheim - Granåsen;SN68090;05.03.2025 22:40;0,2;4,7
Trondheim - Granåsen;SN68090;05.03.2025 22:50;0,2;4,6
Trondheim - Granåsen;SN68090;05.03.2025 23:00;0,2;4,7
Trondheim - Granåsen;SN68090;05.03.2025 23:10;0,4;4,9
Trondheim - Granåsen;SN68090;05.03.2025 23:20;0,2;5,1
Trondheim - Granåsen;SN68090;05.03.2025 23:30;0,3;5,1
Trondheim - Granåsen;SN68090;05.03.2025 23:40;0,2;5,2
Trondheim - Granåsen;SN68090;05.03.2025 23:50;0,1;5,1
Trondheim - Granåsen;SN68090;06.03.2025 00:00;0,1;5,2
Trondheim - Granåsen;SN68090;06.03.2025 00:10;0,2;5,4
Trondheim - Granåsen;SN68090;06.03.2025 00:20;0,1;5,7
Trondheim - Granåsen;SN68090;06.03.2025 00:30;0;5,8
Trondheim - Granåsen;SN68090;06.03.2025 00:40;0;6,1
Trondheim - Granåsen;SN68090;06.03.2025 00:50;0;6,6
Trondheim - Granåsen;SN68090;06.03.2025 01:00;0;7
Trondheim - Granåsen;SN68090;06.03.2025 01:10;0;7
Trondheim - Granåsen;SN68090;06.03.2025 01:20;0;6,9
Trondheim - Granåsen;SN68090;06.03.2025 01:30;0;6,4
Trondheim - Granåsen;SN68090;06.03.2025 01:40;0;5,9
Trondheim - Granåsen;SN68090;06.03.2025 01:50;0;5,2
Trondheim - Granåsen;SN68090;06.03.2025 02:00;0;5,7
Trondheim - Granåsen;SN68090;06.03.2025 02:10;0;5,6
Trondheim - Granåsen;SN68090;06.03.2025 02:20;0;5,1
Trondheim - Granåsen;SN68090;06.03.2025 02:30;0;5,1
Trondheim - Granåsen;SN68090;06.03.2025 02:40;0;4,6
Trondheim - Granåsen;SN68090;06.03.2025 02:50;0;5,7
Trondheim - Granåsen;SN68090;06.03.2025 03:00;0;6,8
Trondheim - Granåsen;SN68090;06.03.2025 03:10;0;7,5
Trondheim - Granåsen;SN68090;06.03.2025 03:20;0;7,8
Trondheim - Granåsen;SN68090;06.03.2025 03:30;0;8,1
Trondheim - Granåsen;SN68090;06.03.2025 03:40;0;8,3
Trondheim - Granåsen;SN68090;06.03.2025 03:50;0;8,4
